field,description,source,source website,secondary source,secondary source website
PNAME_RE_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
PNMCD_RE_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
MEANQ_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
MEANV_12,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
FRAC_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STRAHLER_2,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STATE1_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STATE2_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STATE3_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RCHTOT_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESTOT_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TERMFLAG_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
EDACDA_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
EDANAME_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HEADFLAG_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
DEMIAREA_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
DEMTAREA_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HYDSEQ_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
E2RF1_12,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RR_12,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HUC2_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HUC4_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HUC6_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
CHAR_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
CHAR2_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Distance_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
morphJoin,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
